subset,difficulty,condition,n,pass_at_1
computer_science,easy,hybrid_deepseek,197,97.97
computer_science,easy,hybrid_nemo,197,94.92
computer_science,easy,jina_deepseek_reranked,197,96.95
computer_science,easy,jina_nemo_reranked,197,95.43
computer_science,hard,hybrid_deepseek,18,66.67
computer_science,hard,hybrid_nemo,18,72.22
computer_science,hard,jina_deepseek_reranked,18,77.78
computer_science,hard,jina_nemo_reranked,18,61.11
finance_en,easy,hybrid_deepseek,173,85.55
finance_en,easy,hybrid_nemo,173,86.71
finance_en,easy,jina_deepseek_reranked,173,83.24
finance_en,easy,jina_nemo_reranked,173,89.02
finance_en,hard,hybrid_deepseek,136,76.47
finance_en,hard,hybrid_nemo,136,71.32
finance_en,hard,jina_deepseek_reranked,136,73.53
finance_en,hard,jina_nemo_reranked,136,76.47
finance_fr,easy,hybrid_deepseek,130,83.08
finance_fr,easy,hybrid_nemo,130,83.08
finance_fr,easy,jina_deepseek_reranked,130,89.23
finance_fr,easy,jina_nemo_reranked,130,88.46
finance_fr,hard,hybrid_deepseek,190,73.16
finance_fr,hard,hybrid_nemo,190,74.21
finance_fr,hard,jina_deepseek_reranked,190,74.21
finance_fr,hard,jina_nemo_reranked,190,75.79
pharmaceuticals,easy,hybrid_deepseek,249,94.38
pharmaceuticals,easy,hybrid_nemo,249,89.56
pharmaceuticals,easy,jina_deepseek_reranked,249,92.77
pharmaceuticals,easy,jina_nemo_reranked,249,92.77
pharmaceuticals,hard,hybrid_deepseek,115,78.26
pharmaceuticals,hard,hybrid_nemo,115,84.35
pharmaceuticals,hard,jina_deepseek_reranked,115,79.13
pharmaceuticals,hard,jina_nemo_reranked,115,79.13
physics,easy,hybrid_deepseek,265,92.08
physics,easy,hybrid_nemo,265,90.57
physics,easy,jina_deepseek_reranked,265,92.83
physics,easy,jina_nemo_reranked,265,93.58
physics,hard,hybrid_deepseek,37,72.97
physics,hard,hybrid_nemo,37,59.46
physics,hard,jina_deepseek_reranked,37,70.27
physics,hard,jina_nemo_reranked,37,81.08
