subset,query_types_primary,both_correct,both_wrong,deepseek_only,nemo_only
computer_science,boolean,20,0,0,0
computer_science,compare-contrast,57,1,1,0
computer_science,enumerative,32,4,2,1
computer_science,extractive,39,3,0,1
computer_science,multi-hop,11,0,2,0
computer_science,numerical,3,0,1,0
computer_science,open-ended,36,0,1,0
finance_en,boolean,38,6,3,1
finance_en,compare-contrast,37,7,4,4
finance_en,enumerative,25,5,2,1
finance_en,extractive,77,13,7,5
finance_en,multi-hop,14,4,1,1
finance_en,numerical,7,5,2,0
finance_en,open-ended,34,2,1,3
finance_fr,boolean,12,3,0,1
finance_fr,compare-contrast,39,8,4,5
finance_fr,enumerative,16,10,2,1
finance_fr,extractive,90,23,4,5
finance_fr,multi-hop,13,1,0,0
finance_fr,numerical,4,3,0,0
finance_fr,open-ended,60,10,3,3
pharmaceuticals,boolean,31,3,2,2
pharmaceuticals,compare-contrast,43,6,6,4
pharmaceuticals,enumerative,45,3,2,6
pharmaceuticals,extractive,56,4,3,1
pharmaceuticals,multi-hop,24,1,0,1
pharmaceuticals,numerical,4,5,0,0
pharmaceuticals,open-ended,103,3,6,0
physics,boolean,20,1,3,1
physics,compare-contrast,56,6,2,2
physics,enumerative,21,3,3,1
physics,extractive,48,7,4,1
physics,multi-hop,19,0,1,1
physics,numerical,4,2,0,0
physics,open-ended,86,4,4,2
